title;type;scimago_value;jcs_value
Proceedings of the London Mathematical Society;journal;1.90;1.30
IEEE Transactions on Vehicular Technology;journal;1.37;5.98
BMC Immunology;journal;1.22;3.62
Molecular Human Reproduction;journal;1.14;4.03
Beneficial microbes;journal;1.11;4.21
Acta Histriae;book series;1.05;0.16
Neurocritical Care;journal;0.91;3.21
Modern Rheumatology;journal;0.89;3.02
Local Government Studies;journal;0.88;2.73
Urban Policy and Research;journal;0.84;2.45
Hormone Research in Paediatrics;journal;0.82;2.85
Siberian Mathematical Journal;journal;0.81;0.78
Public Personnel Management;journal;0.78;2.30
Phycologia;journal;0.73;2.86
American Behavioral Scientist;journal;0.70;2.56
Journal for the Theory of Social Behaviour;journal;0.62;1.84
Journal of Community Psychology;journal;0.59;2.28
American Journal of Human Biology;journal;0.56;1.94
Financial Innovation;journal;0.54;3.99
Bulletin of the Malaysian Mathematical Sciences Society;journal;0.53;1.55
Journal of Applied Statistics;journal;0.51;1.40
Coronary Artery Disease;journal;0.50;1.44
Cultural Trends;journal;0.48;1.60
Tsinghua Science and Technology;journal;0.43;2.02
Diagnostic Cytopathology;journal;0.42;1.58
Journal of the American Academy of Psychiatry and the Law;journal;0.41;2.35
Journal of Asian Public Policy;journal;0.38;2.00
AKCE International Journal of Graphs and Combinatorics;journal;0.35;0.87
Social Work in Public Health;journal;0.34;1.13
International Journal of Theoretical Physics;journal;0.34;1.71
Acta Physica Polonica B;journal;0.33;0.75
Journal of the Canadian Dental Association;journal;0.32;1.32
Open Astronomy;journal;0.31;0.66
Indian Journal of Animal Research;journal;0.30;0.44
Ornis Fennica;journal;0.29;0.85
Traitement du Signal;journal;0.28;2.59
Eastern European Economics;journal;0.27;1.09
Range Management and Agroforestry;journal;0.26;0.37
Acta Medica Okayama;journal;0.25;0.89
Expert Opinion on Orphan Drugs;journal;0.24;0.69
Journal of Veterinary Dentistry;journal;0.23;0.86
Frequenz;journal;0.20;0.73
Tidsskrift for Samfunnsforskning;journal;0.20;0.39
Dynamis;journal;0.18;0.43
Zeitschrift fur Neuropsychologie;journal;0.17;0.58
International Insolvency Review;journal;0.13;0.85
Tourism Management;journal;3.33;10.97
Engineering Geology;journal;2.44;6.76
European Economic Review;journal;1.91;2.15
Journal of Hydrometeorology;journal;1.73;4.35
Journal of Physiotherapy;journal;1.62;7.00
Journal of Structural Geology;journal;1.53;3.57
Project Management Journal;journal;1.45;3.57
International Journal of Hydrogen Energy;journal;1.21;5.82
Communications in Number Theory and Physics;journal;1.15;2.02
Russian Journal of Mathematical Physics;journal;1.04;1.43
Immunogenetics;journal;1.00;2.85
Australian and New Zealand Journal of Public Health;journal;0.95;2.94
SIAM Journal on Imaging Sciences;journal;0.94;2.87
Conservation Physiology;journal;0.94;3.08
Technology in Society;journal;0.82;4.19
BioMed Research International;journal;0.77;3.41
Journal of Bone and Mineral Metabolism;journal;0.72;2.63
Evaluation Review;journal;0.69;1.23
Journal of Documentation;journal;0.68;1.82
Journal of Reproductive and Infant Psychology;journal;0.66;2.48
Zoologischer Anzeiger;journal;0.66;1.52
Journal of Arid Land;journal;0.65;2.30
Latin American Politics and Society;journal;0.56;1.26
Revista Brasileira de Engenharia Agricola e Ambiental;journal;0.52;1.00
IT Professional;journal;0.49;2.63
Medical Ultrasonography;journal;0.47;1.61
Qualitative Research in Accounting and Management;journal;0.46;1.49
International Journal of Psychiatry in Medicine;journal;0.46;1.21
Complexity;journal;0.45;2.83
Australasian Emergency Care;journal;0.44;1.28
Ecology of Food and Nutrition;journal;0.38;1.69
Water Quality Research Journal of Canada;journal;0.34;1.45
Journal of Mineralogical and Petrological Sciences;journal;0.28;0.72
Translational Cancer Research;journal;0.25;1.24
National Medical Journal of India;journal;0.20;0.54
Artery Research;journal;0.20;0.60
International Labor and Working-Class History;journal;0.20;0.71
Open Medicine;journal;0.19;2.20
Chemistry and Technology of Fuels and Oils;journal;0.18;0.39
Developmental Cell;journal;5.28;12.27
Journal for ImmunoTherapy of Cancer;journal;5.06;13.75
Frontiers in Ecology and the Environment;journal;3.92;11.12
Developmental Review;journal;3.65;8.31
Cell Chemical Biology;journal;3.36;8.12
Comprehensive Reviews in Food Science and Food Safety;journal;2.80;12.81
Human Mutation;journal;1.98;4.88
Skeletal Muscle;journal;1.82;4.91
Journal of Archaeological Method and Theory;journal;1.60;3.43
Journal of Scientific Computing;journal;1.53;2.59
Synthetic and Systems Biotechnology;journal;1.40;4.71
Minerva Urologica e Nefrologica;journal;1.34;3.72
Gene Therapy;journal;1.33;5.25
Journal of Machine Learning Research;journal;1.24;3.65
Social Psychology of Education;journal;1.14;2.19
International Migration Review;journal;1.11;2.90
American Health and Drug Benefits;journal;1.02;2.07
Matter and Radiation at Extremes;journal;1.01;2.85
Food Bioscience;journal;0.91;4.24
Sleep and Breathing;journal;0.91;2.82
Journal of Academic Librarianship;journal;0.89;1.53
BMC Ophthalmology;journal;0.88;2.21
IEEE Journal on Emerging and Selected Topics in Circuits and Systems;journal;0.87;3.92
Local Environment;journal;0.85;2.50
Acta Neuropsychiatrica;journal;0.81;3.40
Forestry;journal;0.75;2.13
Corrosion;journal;0.74;1.77
Subterranean Biology;journal;0.72;1.69
Water Resources and Economics;journal;0.71;2.37
Rehabilitation Psychology;journal;0.67;2.56
Lubrication Science;journal;0.63;1.99
ACM Transactions on Software Engineering and Methodology;journal;0.60;2.67
Journal of Function Spaces;journal;0.58;1.81
International Journal of Engineering Education;journal;0.55;0.97
Plasmonics;journal;0.53;2.40
American Journal of Health-System Pharmacy;journal;0.49;2.64
Thoracic and Cardiovascular Surgeon;journal;0.46;1.83
British Journal of Biomedical Science;journal;0.45;3.83
Solid State Communications;journal;0.43;1.80
Queueing Systems;journal;0.43;1.22
Michigan Law Review;journal;0.41;2.70
Scottish Geographical Journal;journal;0.39;0.82
Radio Science;journal;0.37;1.43
Minerva Pediatrica;journal;0.31;1.31
Horticultural Science;journal;0.30;0.83
Israel Journal of Plant Sciences;journal;0.29;0.72
Journal of General Psychology;journal;0.28;0.87
Mathematical Population Studies;journal;0.28;0.72
Acta Zoologica Academiae Scientiarum Hungaricae;journal;0.28;0.92
Journal of Entomological Science;journal;0.25;0.62
Quimica Nova;journal;0.21;0.96
War in History;journal;0.14;0.56
Joule;journal;12.53;41.25
Circulation;journal;7.80;29.69
Annals of the Rheumatic Diseases;journal;6.33;19.10
Human Relations;journal;2.91;5.73
Atmospheric Chemistry and Physics;journal;2.62;6.13
Scientific data;journal;2.57;6.44
Journal of Catalysis;journal;2.34;7.92
Autism;journal;1.90;5.69
Biogeochemistry;journal;1.84;4.83
Journal of Phonetics;journal;1.62;2.67
Global Environmental Politics;journal;1.56;4.06
Cellular Microbiology;journal;1.54;3.72
European Journal of Orthodontics;journal;1.25;3.08
Kidney International Reports;journal;1.23;4.16
Security Dialogue;journal;1.22;3.46
Restoration Ecology;journal;1.21;3.40
Applied Physics Letters;journal;1.18;3.79
Mycoses;journal;1.13;4.38
Expert Reviews in Molecular Medicine;journal;1.12;5.60
Journal of Gastrointestinal Oncology;journal;1.08;2.89
Calcified Tissue International;journal;1.08;4.33
International Transactions in Operational Research;journal;1.03;4.19
Journal of Clinical Nursing;journal;0.94;3.04
Endocrine Practice;journal;0.93;3.44
International Journal of Remote Sensing;journal;0.92;3.15
Frontiers in Public Health;journal;0.91;3.71
European Journal of Clinical Pharmacology;journal;0.85;2.95
Yale Law Journal;journal;0.84;5.32
Media and Communication;journal;0.80;2.47
Nuclear Physics A;journal;0.78;1.68
Viral Immunology;journal;0.78;2.26
Infectious Agents and Cancer;journal;0.77;2.97
International Perspectives on Sexual and Reproductive Health;journal;0.77;1.42
Human Resource Development Quarterly;journal;0.76;4.08
International Journal of Osteoarchaeology;journal;0.74;1.31
Journal of Reproduction and Development;journal;0.73;2.21
BMC Urology;journal;0.68;2.26
NeuroImmunoModulation;journal;0.64;2.49
Zeitschrift fur Wirtschaftsgeographie;journal;0.60;1.74
Journal of Research in Medical Sciences;journal;0.57;1.85
Wave Motion;journal;0.53;2.02
Journal of Oil Palm Research;journal;0.50;2.06
Theory of Computing Systems;journal;0.48;0.58
Electrochemistry;journal;0.44;1.38
Low Temperature Physics;journal;0.36;0.92
Australian Economic Papers;journal;0.35;1.35
Chinese Physics Letters;journal;0.35;1.48
Canadian Metallurgical Quarterly;journal;0.32;1.21
Parallel Computing;journal;0.30;0.99
Waterbirds;journal;0.30;0.53
Brazilian Journal of Pharmaceutical Sciences;journal;0.27;1.32
Journal of Photopolymer Science and Technology;journal;0.27;0.52
International Arab Journal of Information Technology;journal;0.23;0.67
Estudios Filologicos;journal;0.14;0.11
Progress in Materials Science;journal;9.17;39.58
Coordination Chemistry Reviews;journal;5.17;22.32
ISME Journal;journal;4.42;10.30
Theranostics;journal;2.69;11.56
Nucleic Acid Therapeutics;journal;2.26;5.49
Virus Evolution;journal;2.23;7.99
ACM Computing Surveys;journal;2.08;10.28
Geoscience Frontiers;journal;1.84;6.85
Cell and Tissue Research;journal;1.64;5.25
BMC Genomics;journal;1.55;3.97
Diabetic Medicine;journal;1.47;4.36
Research and Practice for Persons with Severe Disabilities;journal;1.40;2.49
Clinical Orthopaedics and Related Research;journal;1.18;4.18
Obstetrics and Gynecology Clinics of North America;journal;1.16;2.84
Cold Regions Science and Technology;journal;1.15;3.73
Journal of Neural Transmission;journal;1.14;3.58
Scandinavian Journal of Primary Health Care;journal;1.09;2.58
Sexuality Research and Social Policy;journal;1.06;3.62
Coastal Engineering Journal;journal;0.99;3.22
Advanced Engineering Materials;journal;0.94;3.86
Reproductive Sciences;journal;0.93;3.06
Nurse Education in Practice;journal;0.92;2.28
Human Cell;journal;0.89;4.17
Journal of Interpersonal Violence;journal;0.89;6.14
International Wound Journal;journal;0.87;3.32
Economic Inquiry;journal;0.82;1.54
Annals of Laboratory Medicine;journal;0.78;3.46
Archaeometry;journal;0.72;1.89
International Ophthalmology;journal;0.72;2.03
Surfaces and Interfaces;journal;0.71;4.84
Machine Learning;journal;0.67;2.94
Applied Nursing Research;journal;0.66;2.26
Animals;journal;0.58;2.75
Frontiers of Earth Science;journal;0.57;2.03
Critical Asian Studies;journal;0.57;1.79
Blood Pressure;journal;0.50;2.84
Complex Variables and Elliptic Equations;journal;0.46;0.85
Journal of Chemistry;journal;0.44;2.51
Journal of Zoo and Wildlife Medicine;journal;0.42;0.78
Presse Medicale;journal;0.33;1.23
Physics of Wave Phenomena;journal;0.31;1.08
Applied Engineering in Agriculture;journal;0.28;0.99
Postepy Higieny i Medycyny Doswiadczalnej;journal;0.28;0.27
Carnets de Geologie;journal;0.26;0.82
Cahiers de Biologie Marine;journal;0.22;0.53
Australian Journal of Politics and History;journal;0.12;0.49
Environmental Ethics;journal;0.12;0.28
Chem;journal;7.06;22.80
Current Opinion in Psychology;journal;2.39;5.72
Monthly Weather Review;journal;1.86;3.74
Journal of Counseling Psychology;journal;1.82;4.69
Oikos;journal;1.67;3.90
World Bank Economic Review;journal;1.54;2.18
Industrial and Corporate Change;journal;1.51;3.09
Journal of Biomolecular NMR;journal;1.35;2.84
Freshwater Biology;journal;1.30;3.81
British Journal of Clinical Pharmacology;journal;1.22;4.34
Journal of Ovarian Research;journal;1.15;4.23
Food Quality and Preference;journal;1.14;5.57
American Journal of Community Psychology;journal;1.11;3.55
Metabolites;journal;1.11;4.93
Annual Review of Law and Social Science;book series;1.08;2.44
Insect Conservation and Diversity;journal;1.06;3.18
Dysphagia;journal;0.99;3.44
Neurodegenerative Diseases;journal;0.98;2.98
Journal of Diabetes;journal;0.95;4.01
Macromolecular Bioscience;journal;0.92;4.98
Organic Electronics;journal;0.89;3.72
Synthese;journal;0.85;2.91
Agricultural and Forest Entomology;journal;0.76;2.51
Radiologic Clinics of North America;journal;0.72;2.30
BMC Anesthesiology;journal;0.70;2.22
International Journal of Food Properties;journal;0.70;2.73
International Journal of the Commons;journal;0.65;2.25
Female Pelvic Medicine and Reconstructive Surgery;journal;0.65;2.09
Aquaculture Research;journal;0.65;2.08
British Journal of Religious Education;journal;0.63;1.62
Chinese Optics Letters;journal;0.62;2.45
Information Systems Management;journal;0.62;2.10
AIDS Reviews;journal;0.61;2.50
Marine Biology Research;journal;0.59;1.30
Oeconomia Copernicana;journal;0.59;4.27
Clinical EEG and Neuroscience;journal;0.59;1.84
European Neurology;journal;0.57;1.71
Gels;journal;0.57;4.70
Australian Forestry;journal;0.57;1.90
Bioanalysis;journal;0.57;2.68
Journal of Toxicological Sciences;journal;0.56;2.20
Journal of Forecasting;journal;0.54;2.31
Advances in Meteorology;journal;0.48;1.96
Malawi Medical Journal;journal;0.43;0.88
Revista de Psicologia del Deporte;journal;0.41;1.17
Ginekologia Polska;journal;0.40;1.23
Revista de Contabilidad-Spanish Accounting Review;journal;0.38;2.32
Crystal Research and Technology;journal;0.38;1.64
Transactions of the Indian Institute of Metals;journal;0.37;1.50
European Law Journal;journal;0.35;1.29
Swiss Journal of Psychology;journal;0.32;0.93
Aerospace medicine and human performance;journal;0.32;1.05
Studia Scientiarum Mathematicarum Hungarica;journal;0.31;0.86
Revista de la Union Matematica Argentina;journal;0.29;0.47
African Journal of Aquatic Science;journal;0.28;1.00
Atencion Primaria;journal;0.27;1.14
Progress in Chemistry;journal;0.27;1.17
Russian Chemical Bulletin;journal;0.27;1.22
Geodetski Vestnik;journal;0.25;0.55
Engenharia Sanitaria e Ambiental;journal;0.21;0.42
Microwave Journal;trade journal;0.14;0.31
Physical Review Letters;journal;3.69;9.16
European Respiratory Review;journal;2.57;8.84
Journal of the American Psychoanalytic Association;journal;1.97;1.08
Journal of Immunotherapy;journal;1.81;4.46
Journal of Planning Literature;journal;1.40;4.62
Cochrane Database of Systematic Reviews;journal;1.32;9.27
International Journal of Intelligent Systems;journal;1.29;8.71
Faraday Discussions;journal;1.26;4.01
Measurement in Physical Education and Exercise Science;journal;0.98;2.30
International Journal of Stress Management;journal;0.93;3.39
Bird Conservation International;journal;0.91;2.29
HIP International;journal;0.84;2.14
Operative Neurosurgery;journal;0.79;2.70
Physiology and Molecular Biology of Plants;journal;0.75;2.39
ACM Transactions on Knowledge Discovery from Data;journal;0.73;2.71
Journal of Clinical and Experimental Neuropsychology;journal;0.70;2.48
Current Pharmaceutical Design;journal;0.69;3.12
Australian Archaeology;journal;0.68;1.33
Annals of Diagnostic Pathology;journal;0.65;2.09
Biomarkers;journal;0.63;2.66
Kennedy Institute of Ethics Journal;journal;0.61;1.10
Mathematical Modelling of Natural Phenomena;journal;0.60;4.16
Bulletin of Environmental Contamination and Toxicology;journal;0.54;2.15
Tropical Plant Biology;journal;0.48;1.51
Nano Communication Networks;journal;0.46;2.95
Journal of Invasive Cardiology;journal;0.46;2.02
Journal of Cryptology;journal;0.44;1.22
Inverse Problems in Science and Engineering;journal;0.43;1.95
Russian Journal of Pacific Geology;journal;0.43;0.80
Grasas y Aceites;journal;0.38;1.65
Bulletin du Cancer;journal;0.35;1.28
Amfiteatru Economic;journal;0.34;1.98
Interacting with Computers;journal;0.33;1.17
Revista Signos;journal;0.31;0.59
Cellulose Chemistry and Technology;journal;0.30;1.47
Anthropological Quarterly;journal;0.28;0.69
Acta Botanica Mexicana;journal;0.26;0.96
Chalcogenide Letters;journal;0.23;0.89
Electromagnetics;journal;0.23;1.10
Contemporary European History;journal;0.22;0.78
Open Physics;journal;0.21;1.07
Theology and Science;journal;0.18;0.88
Journal of Engineering Research;journal;0.17;0.62
Latin American Journal of Pharmacy;journal;0.13;0.25
Acta Neuropathologica;journal;7.18;17.09
Nature Chemical Biology;journal;6.41;15.04
Ergodic Theory and Dynamical Systems;journal;1.57;1.20
Advances in Calculus of Variations;journal;1.57;2.54
Journal of General Virology;journal;1.55;3.89
ChemElectroChem;journal;1.18;4.59
Virus Research;journal;1.18;3.30
Population and Environment;journal;1.17;3.54
Journal of Orthopaedic Translation;journal;1.13;5.19
Cell Transplantation;journal;1.04;4.06
Journal of Space Weather and Space Climate;journal;1.03;3.58
Zeitschrift fur Medizinische Physik;journal;1.03;4.82
Medical Education Online;journal;1.00;3.30
Signal Processing;journal;0.91;4.66
Spatial Statistics;journal;0.89;2.06
Communications in Mathematics and Statistics;journal;0.87;1.94
Archives of Environmental Contamination and Toxicology;journal;0.83;2.80
Journal of Economic Entomology;journal;0.82;2.38
Journal of Counseling and Development;journal;0.81;2.06
IEEE Photonics Journal;journal;0.73;2.44
Food and Agricultural Immunology;journal;0.70;3.10
Bulletin of the Geological Society of Denmark;journal;0.67;1.48
Europe-Asia Studies;journal;0.67;2.10
Journal of Semantics;journal;0.66;1.49
Clinical Nuclear Medicine;journal;0.64;7.79
Experimental Lung Research;journal;0.61;2.46
Graphs and Combinatorics;journal;0.59;0.50
Journal of Vascular Research;journal;0.58;1.93
International Microbiology;journal;0.58;2.48
Feminist Theory;journal;0.58;0.86
Applicable Analysis;journal;0.58;1.43
Australian Accounting Review;journal;0.55;2.11
International Journal of Astrobiology;journal;0.52;1.67
European Journal of Pediatric Surgery;journal;0.52;2.19
Journal of Organizational Change Management;journal;0.51;2.29
Psychologica Belgica;journal;0.51;1.52
European Physical Journal E;journal;0.47;1.89
Journal of Experimental and Theoretical Physics;journal;0.43;1.29
Acta Reumatologica Portuguesa;journal;0.40;1.29
IET Signal Processing;journal;0.38;1.49
Clinical Case Studies;journal;0.38;0.87
International Journal of Tropical Insect Science;journal;0.37;0.77
Current Organic Synthesis;journal;0.29;1.98
Revista Mexicana de Ingenieria Quimica;journal;0.29;2.15
Ferroelectrics;journal;0.24;0.62
Gastroenterology Nursing;journal;0.22;0.98
Diabetologie und Stoffwechsel;journal;0.16;1.27
Law Library Journal;journal;0.11;0.26
Nano Letters;journal;4.85;11.19
Nuclear Data Sheets;journal;3.10;10.94
Global Strategy Journal;journal;2.81;7.57
International Journal of Engineering Science;journal;2.73;8.84
Journal of Antimicrobial Chemotherapy;journal;2.12;5.79
eNeuro;journal;2.00;4.08
Gifted Child Quarterly;journal;2.00;3.56
Current Opinion in Electrochemistry;journal;1.98;7.27
Current Opinion in Neurology;journal;1.94;5.71
International Immunology;journal;1.86;4.82
Physical Review C;journal;1.68;3.30
Land Use Policy;journal;1.67;5.40
Journal of Global Health;journal;1.58;4.41
Journal of Translational Medicine;journal;1.58;5.53
Aquatic Toxicology;journal;1.39;4.96
Psychology of Addictive Behaviors;journal;1.29;3.29
BJPsych Open;journal;1.28;3.21
Communications in Computational Physics;journal;1.22;3.25
Teacher Education and Special Education;journal;1.16;2.51
Journal of Behavioral Decision Making;journal;1.14;2.44
European Journal of Public Health;journal;1.06;3.37
Journal of Nonverbal Behavior;journal;0.98;2.94
International Journal of Laboratory Hematology;journal;0.71;2.88
Journal of Aerosol Medicine and Pulmonary Drug Delivery;journal;0.68;2.85
Biomarkers in Medicine;journal;0.65;2.85
Journal of Scheduling;journal;0.63;1.80
Journal of Applied Geophysics;journal;0.63;2.12
Microgravity Science and Technology;journal;0.58;1.98
Journal of Agricultural and Resource Economics;journal;0.55;1.38
International Food and Agribusiness Management Review;journal;0.47;1.44
British Journal of Neurosurgery;journal;0.46;1.60
Computational Biology and Chemistry;journal;0.42;2.88
Probability in the Engineering and Informational Sciences;journal;0.41;1.27
International Journal of Biostatistics;journal;0.40;0.97
Japan Journal of Industrial and Applied Mathematics;journal;0.36;0.88
Studies in Language;journal;0.35;0.43
Acoustical Physics;journal;0.33;0.86
Solid Fuel Chemistry;journal;0.30;0.94
Petroleum Chemistry;journal;0.27;1.03
Hellenic Journal of Nuclear Medicine;journal;0.27;1.10
Russian Journal of Herpetology;journal;0.26;0.64
African Invertebrates;journal;0.25;0.36
Studies in Symbolic Interaction;book series;0.13;0.83
Analytical and Quantitative Cytopathology and Histopathology;journal;0.12;0.30
Molecular Oncology;journal;2.33;6.60
Journalism Studies;journal;2.14;3.74
British Journal of Ophthalmology;journal;2.02;4.64
Journal of Archaeological Research;journal;1.75;4.36
Scandinavian Journal of Economics;journal;1.73;1.70
Perspectives in Ecology and Conservation;journal;1.61;4.68
Journal of Manufacturing Processes;journal;1.39;5.01
Engineering;journal;1.38;7.55
Journal of Lightwave Technology;journal;1.35;4.14
BMC Pregnancy and Childbirth;journal;1.30;3.01
Current Opinion in Hematology;journal;1.30;3.28
Building Research and Information;journal;1.25;5.32
Clinical Immunology;journal;1.24;3.97
Expert Review of Anti-Infective Therapy;journal;1.21;5.09
Reproductive BioMedicine Online;journal;1.21;3.83
Journal of Gastrointestinal Surgery;journal;1.17;3.45
Journal of Consumer Culture;journal;1.17;4.20
Environmental Toxicology and Chemistry;journal;1.10;3.74
Journal of the American College of Radiology;journal;1.02;5.53
Journal of Neuroscience Methods;journal;0.98;2.39
Linguistics and Education;journal;0.98;1.59
Revista de Saude Publica;journal;0.86;2.11
Equine Veterinary Journal;journal;0.82;2.89
Journal of Cultural Economy;journal;0.80;1.96
Journal of Regulatory Economics;journal;0.75;1.35
Food Science of Animal Resources;journal;0.72;2.47
Journal of Statistical Physics;journal;0.71;1.55
Infant Mental Health Journal;journal;0.69;1.79
Meteorological Applications;journal;0.67;2.12
Australian Journal of Psychology;journal;0.65;2.32
European Journal of Applied Mathematics;journal;0.61;1.41
Mini-Reviews in Medicinal Chemistry;journal;0.60;3.86
Journal of Commutative Algebra;journal;0.53;0.61
Journal of Poverty and Social Justice;journal;0.53;0.83
Journal of the Institute of Brewing;journal;0.52;1.76
Journal of the Knowledge Economy;journal;0.48;1.96
Pacific Affairs;journal;0.42;1.45
Social Influence;journal;0.41;0.93
Asian Pacific Journal of Allergy and Immunology;journal;0.41;2.31
Journal of Quantitative Linguistics;journal;0.39;0.91
Wilson Journal of Ornithology;journal;0.38;0.66
European Geriatric Medicine;journal;0.38;1.71
Medicina Intensiva;journal;0.34;2.49
Africana Linguistica;journal;0.32;0.07
Heteroatom Chemistry;journal;0.28;1.37
Revista de Biologia Marina y Oceanografia;journal;0.26;0.44
Sarcoidosis Vasculitis and Diffuse Lung Diseases;journal;0.25;0.67
Journal of Structural Chemistry;journal;0.23;1.07
Harvard Journal of Law and Public Policy;journal;0.21;0.89
History and Theory;journal;0.17;1.15
Annual Review of Astronomy and Astrophysics;book series;15.62;30.07
Accounts of Chemical Research;journal;8.45;22.38
Nature Reviews Neurology;journal;7.27;42.94
Aging Cell;journal;3.10;9.30
Journal of Endovascular Therapy;journal;1.72;3.49
Financial Management;journal;1.65;2.94
Ecosystems;journal;1.64;4.22
World Journal of Emergency Surgery;journal;1.55;5.47
Economica;journal;1.53;2.40
Current Opinion in Lipidology;journal;1.41;4.78
Ecotoxicology and Environmental Safety;journal;1.38;6.29
Cognitive Neuroscience;journal;1.17;3.07
Ophthalmic and Physiological Optics;journal;1.15;3.12
User Modeling and User-Adapted Interaction;journal;1.09;4.41
Neurocomputing;journal;1.09;5.72
Computerized Medical Imaging and Graphics;journal;1.03;4.79
Channels;journal;1.01;2.58
Journal of Contextual Behavioral Science;journal;1.01;3.09
Social Neuroscience;journal;0.95;2.08
Environment and Development Economics;journal;0.89;1.94
Future Oncology;journal;0.86;3.40
Journal of School Health;journal;0.85;2.12
Current Opinion in Cardiology;journal;0.83;2.16
Journal of Public Policy;journal;0.81;2.51
World Neurosurgery;journal;0.73;2.10
Annals of Thoracic Medicine;journal;0.64;2.22
Journal of Symbolic Computation;journal;0.60;0.85
Evidence-based Complementary and Alternative Medicine;journal;0.55;2.63
Biotechnology Letters;journal;0.55;2.46
Kardiologia Polska;journal;0.53;3.11
Solvent Extraction and Ion Exchange;journal;0.49;2.51
Journal of Food Safety;journal;0.43;1.95
Computational and Mathematical Organization Theory;journal;0.43;2.02
PsyCh Journal;journal;0.42;1.51
CytoJournal;journal;0.37;2.09
Animal Biotechnology;journal;0.36;2.28
Aircraft Engineering and Aerospace Technology;journal;0.32;0.98
Revista Internacional de Andrologia;journal;0.19;1.06
Molecular Systems Biology;journal;8.52;11.43
JAMA Internal Medicine;journal;5.14;21.87
Journal of the American Society of Echocardiography;journal;2.95;5.25
Geology;journal;2.61;5.40
Journal of Research on Educational Effectiveness;journal;2.21;2.50
Metacognition and Learning;journal;1.87;3.42
Solar Energy Materials and Solar Cells;journal;1.84;7.27
Addictive Behaviors;journal;1.52;3.91
Cell Cycle;journal;1.32;4.53
Landscape Ecology;journal;1.30;3.85
Foreign Language Annals;journal;1.26;2.07
Journal of Organic Chemistry;journal;1.20;4.35
Topics in Cognitive Science;journal;1.19;3.38
Applied Geography;journal;1.17;4.24
Journal of Agricultural Economics;journal;1.16;3.58
Journal of the Mathematical Society of Japan;journal;1.05;0.95
Atmospheric Pollution Research;journal;0.98;4.35
Reviews in Mathematical Physics;journal;0.93;1.36
General Relativity and Gravitation;journal;0.82;2.51
Early Human Development;journal;0.79;2.08
Restorative Neurology and Neuroscience;journal;0.77;2.41
Politics and Governance;journal;0.75;2.06
European Transport Research Review;journal;0.74;2.42
Science and Engineering Ethics;journal;0.73;3.53
Journal of Luminescence;journal;0.65;3.60
Social Compass;journal;0.56;0.94
Differential Equations;journal;0.54;0.84
Statistica Neerlandica;journal;0.52;1.19
Biochemical Genetics;journal;0.52;1.89
Biologicals;journal;0.50;1.86
Brazilian Journal of Otorhinolaryngology;journal;0.49;1.81
Entertainment Computing;journal;0.47;1.46
Aquatic Ecology;journal;0.47;1.64
Journal of Genetic Psychology;journal;0.47;1.51
Journal of the History of Biology;journal;0.44;1.33
Journal of Electronic Materials;journal;0.42;1.94
Functional Analysis and its Applications;journal;0.41;0.49
History and Philosophy of Logic;journal;0.26;0.75
Elektronika ir Elektrotechnika;journal;0.22;1.13
Computer Music Journal;journal;0.22;0.19
Cancer Cell;journal;13.04;31.74
Annals of Statistics;journal;5.88;4.03
ACS Catalysis;journal;4.90;13.08
Nature Metabolism;journal;4.83;13.51
Journal of Management Studies;journal;4.40;7.39
Science Signaling;journal;3.66;8.19
Briefings in Bioinformatics;journal;3.20;11.62
OncoImmunology;journal;3.05;8.11
Advanced healthcare materials;journal;2.29;9.93
Journal of Hazardous Materials;journal;2.03;10.59
AIDS and Behavior;journal;1.99;3.90
Ear and Hearing;journal;1.58;3.57
Annals of Botany;journal;1.57;4.36
ACS Infectious Diseases;journal;1.32;5.08
Journal of Pediatric Orthopaedics;journal;1.32;2.32
International Journal of Advertising;journal;1.31;4.62
Annals of Gastroenterological Surgery;journal;1.31;5.16
European Journal of Social Theory;journal;1.26;2.53
Food and Energy Security;journal;1.25;4.11
Brain and Cognition;journal;1.25;2.31
Clinics in Liver Disease;journal;1.24;6.13
Journal of Education for Teaching;journal;1.08;1.98
Applied Microbiology and Biotechnology;journal;1.07;4.81
Research in Developmental Disabilities;journal;1.02;3.23
Epidemiology and Infection;journal;0.99;2.45
Insect Science;journal;0.99;3.26
Economic and Labour Relations Review;journal;0.94;1.57
European Journal of Psychological Assessment;journal;0.93;2.99
Polymer Degradation and Stability;journal;0.93;5.03
International Journal of Educational Research;journal;0.92;1.98
Journal of Public Health;journal;0.92;2.34
Clinics in Colon and Rectal Surgery;journal;0.88;2.37
Scandinavian Journal of Gastroenterology;journal;0.88;2.42
Environmental Toxicology;journal;0.81;4.12
Apidologie;journal;0.81;2.32
Journal of Consumer Behaviour;journal;0.81;3.28
American Journal of International Law;journal;0.79;3.09
Journal of Sports Economics;journal;0.75;2.21
Computer Communications;journal;0.63;3.17
European Journal of Plant Pathology;journal;0.61;1.91
Linguistic Inquiry;journal;0.61;1.75
American Journal of Veterinary Research;journal;0.61;1.16
Journal of General Plant Pathology;journal;0.56;1.45
Journal of Social Work;journal;0.55;2.29
Limnology;journal;0.54;1.58
Breast Journal;journal;0.53;2.43
Complex Analysis and Operator Theory;journal;0.52;0.84
Pediatrics International;journal;0.49;1.52
Journal of Plant Diseases and Protection;journal;0.47;1.93
